"Categories1","Categories2","Categories3","Categories4","Categories5","Categories6","Categories7","Categories8","Categories9"
"0","0","0","0","0","0","0","0","0"
"Italian","Pizza","0","0","0","0","0","0","0"
"Mexican","Tex-Mex","FastFood","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Deli","SaladBar","0","0","0","0","0","0","0"
"Mexican","FastFood","0","0","0","0","0","0","0"
"Seafood","Italian","0","0","0","0","0","0","0"
"American","Mexican","0","0","0","0","0","0","0"
"American","Waffles","American","Belgian","0","0","0","0","0"
"Thai","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"American","Bar","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Deli","Brgers","Diner","Italian","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Filipino","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Longe","Bar","0","0","0","0","0","0","0"
"Deli","Cafe","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"Deli","Brgers","0","0","0","0","0","0","0"
"Desserts","IceCream","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"SportsBar","Brgers","Bar","Pizza","0","0","0","0","0"
"American","Mexican","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Korean","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Deli","Mexican","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Deli","JiceBar","Cafe","SaladBar","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Deli","Brgers","American","0","0","0","0","0","0"
"Korean","0","0","0","0","0","0","0","0"
"AsianFsion","Cafe","WineBar","BeerBar","FastFood","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Steakhose","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"SshiBar","Japanese","0","0","0","0","0","0","0"
"SshiBar","Japanese","Chinese","SaladBar","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
